text,label,text_en,text_hi,text_bn,text_mr,text_te,text_ta,text_gu,text_ur,text_kn,text_or,text_ml
The garbage is a play that we have to be the first character of.,garbage,The garbage is a play that we have to be the first character of.,कचरा एक खेल है कि हमें पहला चरित्र होना है.,"කුණු කසළ एक සෙල්ලම් है, जिसे हमें पहिला अक्षर होणे आवश्यक आहे.","आमच्या गाडीच्या मालकाने आम्हाला सांगितलं, की आम्ही गवताच्या काचेचेचेच्या लाकडाचे काम करत आहोत.","చెత్తವು, ನಾವು ಮೊದಲು ಪಾತ್ರವಹಿಸಬೇಕಾದ ಒಂದು ಆಟವಾಗಿದೆ.","చెత్తವು, ನಾವು ಮೊದಲು ಪಾತ್ರವಹಿಸಬೇಕಾದ ಒಂದು ಆಟವಾಗಿದೆ.","කුණු කසළ एक සෙල්ලම් है, जिसे हमें पहिला अक्षर होणे आवश्यक आहे.",کوڑے ایک ایسا کھیل ہے جسے ہمیں سب سے پہلا کردار ہونا ہے۔,"చెత్తವು, ನಾವು ಮೊದಲು ಪಾತ್ರವಹಿಸಬೇಕಾದ ಒಂದು ಆಟವಾಗಿದೆ.","කුණු කසළ एक සෙල්ලම් है, जिसे हमें पहिला अक्षर होणे आवश्यक आहे.",ചപ്പുചവറുകൾ ഒരു നാടകമാണ്. നമ്മൾ ആദ്യ കഥാപാത്രങ്ങളാവണം.
The streetlight is a play that we have to be the playwright of.,streetlight,The streetlight is a play that we have to be the playwright of.,सड़क की रोशनी एक खेल है कि हमें खेलने की ज़रूरत है.,स्टीलाइट एक नाटक है जो हमें खेलने के लिए ज़रूरी है ।,आम्ही रस्त्यात आहोत.,స్ట్రీట్‌ లైట్‌ మనం ఒక నాటకంగా ఉండాలి.,స్ట్రీట్‌ లైట్‌ మనం ఒక నాటకంగా ఉండాలి.,स्टीलाइट एक नाटक है जो हमें खेलने के लिए ज़रूरी है ।,سڑک ایک ایسا کھیل ہے جو ہمیں ایک کھیل ہونا پڑے گا۔,స్ట్రీట్‌ లైట్‌ మనం ఒక నాటకంగా ఉండాలి.,स्टीलाइट एक नाटक है जो हमें खेलने के लिए ज़रूरी है ।,തെരുവ് ലൈറ്റ് ഒരു നാടകമാണ്. നമ്മൾ നാടകത്തിന്റെ കളിയാടണം.
The trash can is broken and smells bad.,garbage,The trash can is broken and smells bad.,रद्दी टूटे और बदबू आ सकती है.,रद्दी ভাঙ্গা और गंध खराब हो सकती है.,तोंड बंद कर आणि चालू दे.,చెత్త విరిగిపోయి చెడు వాసన చూడవచ్చు.,చెత్త విరిగిపోయి చెడు వాసన చూడవచ్చు.,रद्दी ভাঙ্গা और गंध खराब हो सकती है.,اِس کی کیا وجہ ہے ؟,చెత్త విరిగిపోయి చెడు వాసన చూడవచ్చు.,रद्दी ভাঙ্গা और गंध खराब हो सकती है.,ചവറ്റുകുട്ട തകർക്കാനും മണക്കാനും കഴിയും.
The road is a public property that deserves better care.,potholes,The road is a public property that deserves better care.,सड़क ऐसी सार्वजनिक संपत्ति है जो अच्छी देखरेख के योग्य है ।,सड़क एक सार्वजनिक संपत्ति है जो कि बेहतर देखभाल के योग्य है ।,र. भा.),"ఆ రహదారి, సంరక్షణార్హమైన ప్రజాస్వామ్యమే.","ఆ రహదారి, సంరక్షణార్హమైన ప్రజాస్వామ్యమే.",सड़क एक सार्वजनिक संपत्ति है जो कि बेहतर देखभाल के योग्य है ।,سڑک ایک عوامی ذمہ‌داری ہے کہ بہتر دیکھ‌بھال کا مستحق ہے ۔,"ఆ రహదారి, సంరక్షణార్హమైన ప్రజాస్వామ్యమే.",सड़क एक सार्वजनिक संपत्ति है जो कि बेहतर देखभाल के योग्य है ।,റോഡ് നല്ല ശ്രദ്ധ അർഹിക്കുന്ന ഒരു പൊതു സ്വത്താണ്.
The streetlight is a symbol of a well-managed city.,streetlight,The streetlight is a symbol of a well-managed city.,सड़क की रोशनी एक कुख्यात शहर का प्रतीक है.,स्ट्राइट-लाइट सुसंचालयित शहरوں کی علامت ہے.,गावाची लोकसंख्या वाढत चालली आहे.,స్ట్రీట్లైట్ ఒక మంచి మేనేజ్డ్ నగరం యొక్క చిహ్నం.,స్ట్రీట్లైట్ ఒక మంచి మేనేజ్డ్ నగరం యొక్క చిహ్నం.,स्ट्राइट-लाइट सुसंचालयित शहरوں کی علامت ہے.,سڑک ایک خوبصورت شہر کی علامت ہے.,స్ట్రీట్లైట్ ఒక మంచి మేనేజ్డ్ నగరం యొక్క చిహ్నం.,स्ट्राइट-लाइट सुसंचालयित शहरوں کی علامت ہے.,തെരുവ് ലൈറ്റ് ഒരു നല്ല നഗരത്തിന്റെ പ്രതീകമാണ്.
No streetlights on this entire stretch of road.,streetlight,No streetlights on this entire stretch of road.,इस पूरे रास्ते पर सड़क की कोई रोशनी नहीं है.,सड़कों के इस पूरे तट पर कोई सड़कें नहीं हैं.,हा रस्ता रेल्वेच्या दिशेने चालत जातो.,రోడ్ స్ట్రీమ్ మొత్తం ఈ స్ట్రీమ్స్ లేదు.,రోడ్ స్ట్రీమ్ మొత్తం ఈ స్ట్రీమ్స్ లేదు.,सड़कों के इस पूरे तट पर कोई सड़कें नहीं हैं.,اس پورے سڑک پر کوئی سڑک نہیں چلتی ۔,రోడ్ స్ట్రీమ్ మొత్తం ఈ స్ట్రీమ్స్ లేదు.,सड़कों के इस पूरे तट पर कोई सड़कें नहीं हैं.,ഈ വഴി മുഴുവൻ തെരുവ് ലൈറ്റ് ഒന്നും ഇല്ല.
they never build a proper road.,potholes,they never build a proper road.,वे कभी भी एक उचित मार्ग का निर्माण नहीं करते.,اور یہ لوگ کبھی بھی صحیح راستہ پر قائم نہیں ہوتے۔,ते आपापल्या घरी जाऊ शकत नाहीत.,എ. ഡി.,എ. ഡി.,اور یہ لوگ کبھی بھی صحیح راستہ پر قائم نہیں ہوتے۔,وہ کوئی موزوں سڑک قائم نہیں کرتے ۔,എ. ഡി.,اور یہ لوگ کبھی بھی صحیح راستہ پر قائم نہیں ہوتے۔,അവർ ഒരിക്കലും ശരിയായ പാത നിർമ്മിക്കില്ല.
The streetlight is a novel that we have to be the publisher of.,streetlight,The streetlight is a novel that we have to be the publisher of.,सड़क की रोशनी एक ऐसा उपन्यास है जिसे हमें प्रचारक होना चाहिए ।,सड़क की चमक एक उपन्यास है जो हमें प्रचारक बनना पड़ता है ।,आम्ही जपानीचा अभ्यास करत आहोत.,స్ట్ರೀಅನ್‌,స్ట్ರೀಅನ್‌,सड़क की चमक एक उपन्यास है जो हमें प्रचारक बनना पड़ता है ।,گلی‌کوچوں ایک ایسی کتاب ہے جسے ہمیں مُناد ہونا چاہئے ۔,స్ట్ರೀಅನ್‌,सड़क की चमक एक उपन्यास है जो हमें प्रचारक बनना पड़ता है ।,ഞങ്ങൾ പ്രസാധകർ ആയിരിക്കേണ്ട ഒരു നോവലാണ് തെരുവ് ലൈറ്റ് .
The streetlight is a movie that we have to be the first image of.,streetlight,The streetlight is a movie that we have to be the first image of.,सड़क की रोशनी एक फिल्म है जिसे हमें सबसे पहले छवि करनी है ।,स्ट्राइटलाइट एक ऐसी फिल्म है जो हमें सबसे पहली छवि बनવી पड़ती है.,तो चित्रपट आपण पाहिलाय.,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటి చిత్రంగా ఉండాలి.,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటి చిత్రంగా ఉండాలి.,स्ट्राइटलाइट एक ऐसी फिल्म है जो हमें सबसे पहली छवि बनવી पड़ती है.,سڑک ایک ایسی فلم ہے جسے ہمیں پہلی تصویر ہونا ہے۔,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటి చిత్రంగా ఉండాలి.,स्ट्राइटलाइट एक ऐसी फिल्म है जो हमें सबसे पहली छवि बनવી पड़ती है.,തെരുവ് ലൈറ്റ് ഒരു സിനിമയാണ്. നമുക്ക് ആദ്യചിത്രം ആവിശ്യമുണ്ട്.
The streetlight is a symphony that we have to be the first genre of.,streetlight,The streetlight is a symphony that we have to be the first genre of.,सड़क की रोशनी एक फूफनी है कि हमें सबसे पहले सैर करनी है ।,सड़क की चमक एक सिम्फनी है जो हमें सबसे पहली जाति बनना है.,"पण आता आम्हाला कळतं, की आमच्यापुढे एक मोठी समस्या आली आहे.",స్ట్రీట్‌ లైట్ అనేది ఒక smusfouse ఉంది.,స్ట్రీట్‌ లైట్ అనేది ఒక smusfouse ఉంది.,सड़क की चमक एक सिम्फनी है जो हमें सबसे पहली जाति बनना है.,گلی‌کوچوں کا ایک پُرانا پہلو ہے جسے ہمیں پہلی سی‌ڈی ہونا چاہئے ۔,స్ట్రీట్‌ లైట్ అనేది ఒక smusfouse ఉంది.,सड़क की चमक एक सिम्फनी है जो हमें सबसे पहली जाति बनना है.,തെരുവ് ലൈറ്റ് ഒരു സിംഫണി ആണ്.. നമ്മൾ ആദ്യത്തെ ജീനസ്സാക്കേണ്ടത്.
The streetlight is of an outdated model and consumes too much power.,streetlight,The streetlight is of an outdated model and consumes too much power.,सड़क की रोशनी एक पुरानी मॉडल की तरह होती है और बहुत अधिक शक्‍ति खाती है ।,सड़क - उजियाला एक प्राचीन मॉडल का है और वह बहुत शक्‍तिशाली बन जाती है ।,हे बेट अतिशय सुंदर व मजबूत आहे.,"( ಕೀರ್ತನೆ 119: 105) ಸ್ಟ್ರೇಟ್‌ಲೈಟ್‌ ನಕ್ಷೆಯು ಒಂದು ಹಳತಾದ ನಮೂನೆಯಾಗಿದ್ದು, ಬಹಳಷ್ಟು ಶಕ್ತಿಯನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತದೆ.","( ಕೀರ್ತನೆ 119: 105) ಸ್ಟ್ರೇಟ್‌ಲೈಟ್‌ ನಕ್ಷೆಯು ಒಂದು ಹಳತಾದ ನಮೂನೆಯಾಗಿದ್ದು, ಬಹಳಷ್ಟು ಶಕ್ತಿಯನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತದೆ.",सड़क - उजियाला एक प्राचीन मॉडल का है और वह बहुत शक्‍तिशाली बन जाती है ।,گلی‌کوچوں ایک پُرزور ماڈل کی مثال ہے جس میں بہت زیادہ طاقت بھی ہوتی ہے ۔,"( ಕೀರ್ತನೆ 119: 105) ಸ್ಟ್ರೇಟ್‌ಲೈಟ್‌ ನಕ್ಷೆಯು ಒಂದು ಹಳತಾದ ನಮೂನೆಯಾಗಿದ್ದು, ಬಹಳಷ್ಟು ಶಕ್ತಿಯನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತದೆ.",सड़क - उजियाला एक प्राचीन मॉडल का है और वह बहुत शक्‍तिशाली बन जाती है ।,"തെരുവിന്റെ വെളിച്ചത്തിൽ, പുറത്തുള്ള ഒരു മോഡൽ ആണ്. കൂടുതൽ ശക്തി സംഭരിക്കുന്നു."
